,Name,Position,Research,BS/BA,MS,PhD
41,Michael A. Harrison,Professor Emeritus ,['Programming Systems (PS)'],"[' 1958, bs, electrical engineering, case western reserve university\n                ']","[' 1959, ms, electrical engineering and computing, case western reserve university']","[' \n                    1963, phd, communication sciences, university of michigan']"
42,Bj̦rn Hartmann,Associate Professor ,"['Human-Computer Interaction (HCI)', 'Programming Systems (PS)', 'Cyber-Physical Systems and Design Automation (CPSDA)', 'Graphics (GR)']","[' 2001, bse/ba, digital media design/communication, university of pennsylvania\n                ']","[' 2002, mse, computer and information science, university of pennsylvania']","[' \n                    2009, phd, computer science, stanford university']"
43,Brian Harvey,Teaching Professor Emeritus ,['Education (EDUC)'],"[' 1969, bs, mathematics, mit\n                ']","[' \n                    1990, ma, clinical psychology, new college of california', ' 1985, phd, science & mathematics education, uc berkeley', ' 1975, ms, computer science, stanford', ' 1969, bs, mathematics, mit\n                ']","[' 1985, phd, science & mathematics education, uc berkeley']"
44,Marti Hearst,Professor ,"['Human-Computer Interaction (HCI)', 'Artificial Intelligence (AI)']",N/A,N/A,N/A
45,Joseph M. Hellerstein,Professor ,"['Database Management Systems (DBMS)', 'Operating Systems & Networking (OSNT)']",['NA'],"[' \n                    1995, phd, computer science, university of wisconsin-madison', ' 1992, ms, computer science, uc berkeley']","[' \n                    1995, phd, computer science, university of wisconsin-madison']"
46,Paul N. Hilfinger,Teaching Professor ,"['Programming Systems (PS)', 'Scientific Computing (SCI)']",['NA'],"[' 1973, ab, mathematics, princeton university\n                \n                \n                                ']","[' \n                    1980, phd, computer science, carnegie-mellon university']"
47,Joshua Hug,Associate Teaching Professor ,['Education (EDUC)'],"[' 2003, bs, electrical and computer engineering, university of texas at austin\n                ']",['NA'],"[' \n                    2011, phd, electrical engineering and computer science, uc berkeley']"
48,Nilah Ioannidis,Assistant Professor ,['Biosystems & Computational Biology (BIO)'],['NA'],['NA'],"[' \n                    2013, phd, biophysics, harvard university\n                \n                \n                                \n                ']"
49,Jiantao Jiao,Assistant Professor ,"['Artificial Intelligence (AI)', 'Information, Data, Network, and Communication Sciences (IDNCS)', 'Control, Intelligent Systems, and Robotics (CIR)', 'Theory (THY)', 'Signal Processing (SP)', 'Operating Systems & Networking (OSNT)', 'Database Management Systems (DBMS)', 'Cyber-Physical Systems and Design Automation (CPSDA)']",['NA'],['NA'],"[' \n                    2018, phd, electrical engineering, stanford university\n                \n                ']"
50,Michael Jordan,Professor ,"['Artificial Intelligence (AI)', 'Biosystems & Computational Biology (BIO)', 'Control, Intelligent Systems, and Robotics (CIR)', 'Signal Processing (SP)', 'Theory (THY)']","[' 1978, bs, psychology, louisiana state university\n                ']","[' 1980, ms, mathematics, arizona state university']","[' \n                    1985, phd, cognitive science, uc san diego']"
51,Anthony D. Joseph,Professor ,"['Operating Systems & Networking (OSNT)', 'Security (SEC)']",['NA'],['NA'],"[' \n                    1998, phd, computer science, mit']"
52,William M. Kahan,Professor Emeritus ,"['Computer Architecture & Engineering (ARC)', 'Scientific Computing (SCI)']","[' 1954, ba, mathematics, university of toronto\n                ']","[' \n                    1958, phd, mathematics, university of toronto', "" 1956, master's, mathematics, university of toronto"", ' 1954, ba, mathematics, university of toronto\n                ']","[' \n                    1958, phd, mathematics, university of toronto']"
53,Richard M. Karp,Professor Emeritus ,"['Biosystems & Computational Biology (BIO)', 'Operating Systems & Networking (OSNT)', 'Theory (THY)']",['NA'],"[' \n                    1959, phd, applied mathematics, harvard', ' 1956, sm, applied mathematics, harvard', ' 1955, ab, mathematics, harvard\n                ']","[' \n                    1959, phd, applied mathematics, harvard']"
54,Randy H. Katz,Professor ,"['Computer Architecture & Engineering (ARC)', 'Operating Systems & Networking (OSNT)']",['NA'],"[' 1978, ms, computer science, uc berkeley', ' 1976, ab, computer science & math, cornell university\n                ']","[' \n                    1980, phd, computer science, uc berkeley']"
55,Daniel Klein,Professor ,['Artificial Intelligence (AI)'],"[' 1998, ba, math, cs, linguistics, cornell university\n                ']","[' \n                    2004, ms/phd, computer science, stanford university', ' 1999, mst, linguistics, oxford university', ' 1998, ba, math, cs, linguistics, cornell university\n                ']","[' \n                    2004, ms/phd, computer science, stanford university']"
56,John D. Kubiatowicz,Professor ,"['Operating Systems & Networking (OSNT)', 'Security (SEC)']","[' 1987, bs, ee and physics, mit\n                ']","[' 1993, ms, electrical engineering and computer science, mit']","[' \n                    1998, phd, electrical engineering and computer science (minor in physics), mit']"
57,Edward A. Lee,"Professor Emeritus , Professor in the Graduate School","['Cyber-Physical Systems and Design Automation (CPSDA)', 'Programming Systems (PS)', 'Signal Processing (SP)', 'Computer Architecture & Engineering (ARC)', 'Information, Data, Network, and Communication Sciences (IDNCS)', 'Design, Modeling and Analysis (DMA)']","[' 1979, bs, cs and eng & applied science, yale\n                ']",['NA'],"[' \n                    1986, phd, eecs, uc berkeley']"
58,Sergey Levine,Assistant Professor ,"['Artificial Intelligence (AI)', 'Control, Intelligent Systems, and Robotics (CIR)']","[' 2009, bs/ms, computer science, stanford university\n                \n                \n                                ']","[' 2009, bs/ms, computer science, stanford university\n                \n                \n                                ']","[' \n                    2014, phd, computer science, stanford university']"
59,Jennifer Listgarten,Professor ,"['Biosystems & Computational Biology (BIO)', 'Artificial Intelligence (AI)']",['NA'],['NA'],"[' \n                    2007, phd, computer science, university of toronto\n                \n                \n                                ']"
