Lillian Lee,"; Computer Science, Director of Undergraduate Studies; CS Field Member","Research Focus:
Natural language processing"
Owolabi Legunsen,; Computer Science,"Research Focus:
Software Engineering, Applied Formal Methods"
Steve Marschner,"; Computer Science, CS Field Member","Research Focus:
Computer graphics, realistic rendering and simulation, material models for surfaces, volumes, and deformable objects"
Jose Martinez,"; Electrical and Computer Engineering, CS Field Member","Research Focus:
Reconfigurable and self-optimizing multicore architectures, architectural implications of disruptive technologies"
David Mimno,"; Information Science, CS Field Member","Research Focus:
Machine learning, text mining, digital humanities"
Greg Morrisett,"; Computer Science, Cornell Tech, CS Field Member","Research Focus:
Programming languages, software security, formal methods"
Curran Muhlberger,"; Ph.D. Cornell University, 2014","Research Areas:
Scientific Computing"
Andrew Myers,"; Computer Science, CS Field Member","Research Focus:
Security, programming language design and implementation, persistent and distributed object systems"
Mor Naaman,"; Information Science, Cornell Tech, CS field member","Research Focus:
Social media, data mining, human-computer interaction, computational social science, interactive systems"
Anil Nerode,"; Mathematics, CS Field Member","Research Focus:
Mathematical logic, computational theory, recursive mathematics, nonstandard logics, nonmontonic logics, AI, applied mathematics."
Tapan Parikh,"; Information Science, Cornell Tech, CS Field Member","Research Focus:
Human-Computer Interaction (HCI), Information and Communication Technologies for Development (ICTD), Computer Science Education"
Rafael Pass,"; Computer Science, Cornell Tech, CS Field Member","Research Focus:
Cryptography and its interplay with computational complexity and game theory."
Kirstin Petersen,"; Electrical and Computer Engineering, CS Field Member","Research Focus:
Design and coordination of bio-inspired robot collectives and their natural counterparts"
Martha E. Pollack,"; Computer Science, CS Field Member","Research Focus:
Artificial intelligence"
Tom Ristenpart,"; Computer Science, Cornell Tech, CS Field Member","Research Focus:
Software security, applied and theoretical cryptography"
"Alexander ""Sasha"" Rush","; Computer Science, Cornell Tech, CS Field Member","Research Focus:
Natural Language Processing, Machine Learning"
Mert Sabuncu,"; Engineering, CS Field Member","Research Focus:
biomedical image analysis, with an emphasis on neuroimaging. My group works at the intersection of computer vision, applied machine learning, and biomedical imaging"
Adrian Sampson,"; Computer Science, CS Field Member","Research Focus:
Hardware-software abstractions,computer architecture, programming languages, compilers, and software engineering"
Fred Schneider,"; Computer Science, CS Field Member; Samuel B. Eckert Professor of Computer Science","Research Focus:
Concurrent and distributed systems; computer and network security"
Bart Selman,"; Computer Science, CS Field Member; Joseph C Ford Professor of Engineering","Research Focus:
Knowledge representation, reasoning and search, algorithms and complexity, planning, machine learning, cognitive science, software agents, and connections between computational complexity and statistical physics"
Phoebe Sengers,"; Information Science and Science & Technology Studies, CS Field Member","Research Focus:
Designing technology for social impact, rural infrastructure, critical data studies"
Elaine Shi,"; Computer Science, CS Field Member","Research Focus:
Security, cryptography, programming languages, and systems, with applications to cryptocurrency, cloud computing, and privacy"
Vitaly Shmatikov,"; Computer Science, Cornell Tech, CS Field Member","Research Focus:
Reseach focus: Computer Security and privacy"
David Shmoys,"; Operations Research and Information Engineering; Computer Science; and Director, Center for Data Science for Enterprise and Society","Research Focus:
Data Science; Design and analysis of efficient algorithms for discrete optimization problems, in particular approximation algorithms for NP-hard problems"
Emin Gün Sirer,"; Computer Science, CS Field Member","Research Focus:
Secure distributed systems, extensible operating systems, language-based security, automated testing"
Noah Snavely,"; Computer Science, Cornell Tech, CS Field Member","Research Focus:
Computer vision and computer graphics, specifically 3D reconstruction and rendering from large community photo collections"
Karthik Sridharan,"; Computer Science, CS Field Member","Research Focus:
Machine learning with a focus on theoretical analysis and design of learning algorithms. Online learning, statistical learning theory, stochastic optimization and empirical process theory"
G. Edward Suh,"; Electrical and Computer Engineering, CS Field Member","Research Focus:
Architectural support for security, reliability, and programmability; field extensible/repairable architecture; non-volatile microprocessors for highly embedded systems; intelligent on-chip networks"
Wen Sun,; Computer Science,"Research Focus:
Machine Learning, Reinforcement Learning, Decision Making under Uncertainty"
A. Kevin Tang,"; Electrical and Computer Engineering, CS Field Member","Research Focus:
Management and optimization of computer networks; non-convex optimization"
Eva Tardos,; Jacob Gould Schurman Professor of Computer Science and CIS Associate Dean for Diversity and Inclusion,"Research Focus:
Algorithm Design and Algorithmic Game Theory"
Ross Tate,"; Computer Science, CS Field Member","Research Focus:
Language Design, Program Optimization, Type Theory, Semantics, Program Analysis"
Tim Teitelbaum,; Computer Science,"Research Focus:
Automatic Program Analysis"
Immanuel Trummer,"; Computer Science, CS Field Member","Research Focus:
Databases, data science, optimization"
Madeleine Udell,"; ORIE, CS Field Member","Research Focus:
Optimization and machine learning for large scale data analysis and control"
Charles Van Loan,"; Computer Science, CS Field Member; Dean of Faculty; John C. Ford Professor of Engineering","Research Focus:
Numerical linear and multilinear algebra"
Robbert van Renesse,"; Computer Science, CS Field Member","Research Focus:
Scalable, adaptive, and secure group communication protocols"
Marten van Schijndel,"; Linguistics, CS Field Member","Research Focus:
Natural language processing, machine learning, cognitive modeling"
Aaron Wagner,; Electrical and Computer Engineering; CS Field Member,"Research Focus:
information theory, especially compression, feedback communication, security, and quantum information."
Fei Wang,"; Weill Medical, CS Field Member","Research Focus:
Data Mining, Machine Learning, Health Data Science, Clinical Decision Support, Computational Drug Discovery"
Hakim Weatherspoon,"; Computer Science, CS Field Member","Research Focus:
Fault-tolerance, reliability, security, and performance of Internet-scale systems"
Kilian Weinberger,"; Computer Science, CS Field Member","Research Focus:
Machine Learning with a focus on real-world problems"
Walker White,; Computer Science,"Research Focus:
Database Theory, Information Privacy, Logic applications to Computer Science"
Stephen Wicker,"; Electrical and Computer Engineering, CS Field Member","Research Focus:
Artificial intelligence, game theory and wireless information networks"
Amy Williams,"; Biological Statistics and Comp. Biology, CS Field Member","Research Focus:
Algorithms for large scale genetic data, inference of demographic history, population and individual relationships, and studies of recombination and mutation."
David Williamson,"; Operations Research and Information Engineering, CS Field Member","Research Focus:
Algorithms, combinatorial optimization, computer science"
Christina Lee Yu,"; ORIE, CS Field Member","Research Focus:
Theory of Computing, Artificial Intelligence (Machine Learning), Scientific Computing"
Haiyuan Yu,"; Biological Statistics & Computational Biology, CS Field Member","Research Focus:
Biomedical systems biology, machine learning, algorithm development, with an emphasis on network analysis, to understand human disease and evolution of species"
Ramin Zabih,"; Computer Science, Cornell Tech, CS Field Member","Research Focus:
Computer vision and its applications, especially in medical imaging, with an emphasis on the use of combinatorial optimization algorithms"
Cheng Zhang,"; Information Science, CS Field Member","Research Focus:
Ubiquitous Computing, Wearable Computing, Human Computer Interaction"
Zhiru Zhang,"; Electrical and Computer Engineering, CS Field Member","Research Focus:
Computer-aided design methodologies, optimization algorithms, compilers, and computer architectures of gigascale integrated systems; esp. system-on-chips"
